eval,event,obj,cv,dou,mean,std,s_star,s_lo,s_hi,sim_s,P0=P1,P2,P3,P4,P5,P6,P7,PPFD_per_W
80,skipped,1.0825447274296176,1.0,0.0,0.0,0.0,0.8560811532967904,0.992643652902792,0.9926436536417986,0.0,55.00020261924226,65.00062690669164,64.99867216955964,54.99999999813878,64.99999998697153,40.00000001488967,79.99999997022067,0.20006133584479746
81,cached,0.10523328762901683,0.02268782323702079,97.73121767629792,1391.426591111111,31.568440546419293,0.8560808022841824,0.9926446596259467,0.9926446603649541,8.893213987350464,55.00000001861207,65.00000001116724,65.00000001116724,55.00000001861207,65.00000001116724,40.000000029779336,80.0,0.20006133584479746
82,cached,0.10523328762901683,0.02268782323702079,97.73121767629792,1391.426591111111,31.568440546419293,0.8560808022841824,0.9926446596259467,0.9926446603649541,8.893213987350464,55.00000001861207,65.00000001116724,65.00000001116724,55.00000001861207,65.00000001116724,40.000000029779336,80.0,0.20006133584479746
83,infeas,1.0,1.0,0.0,0.0,0.0,inf,1.1450838897216258,0.612731377315825,0.0,48.03159235096711,56.76494749943395,56.76494749943395,130.56292359378384,56.764400011406664,34.93193848856275,69.86387692511302,0.20006133584479746
84,infeas,1.0,1.0,0.0,0.0,0.0,inf,2.8894128313664904,0.7877874529865797,0.0,69.8160429329059,82.51036073812017,82.51036073812017,13.843643097924085,82.50956494006837,50.77511691527379,101.55023375494511,0.20006133584479746
85,infeas,1.0,1.0,0.0,0.0,0.0,inf,1.2261883227713066,0.9087640320005661,0.0,60.52198447889426,71.52640800251994,71.52640800251994,32.621416512592496,71.5257181427783,44.015826574608994,88.03165308367988,0.20006133584479746
86,infeas,1.0,1.0,0.0,0.0,0.0,inf,1.0483183711975892,1.0407220793138252,0.0,52.465170991840175,62.00466257997518,62.00466257997518,76.86970574578955,62.00406455580898,38.15634744081073,76.31269482480793,0.20006133584479746
87,skipped,1.0751530458597398,1.0,0.0,0.0,0.0,0.8537949737992887,0.9760502185226978,0.9760502192493511,0.0,55.00020261924226,65.00062690669164,65.00062690669164,48.876621680183945,64.99999998697155,40.00000001488967,79.99999997022066,0.20006133584479746
88,skipped,1.0926302932283773,1.0,0.0,0.0,0.0,0.857077973744065,1.013554371463316,1.0135543722178906,0.0,55.000202619242266,65.00062690669164,65.00062690669164,63.63930039265426,64.99999998697155,40.00000001488967,79.99999997022066,0.20006133584479746
89,skipped,1.0862716737104596,1.0,0.0,0.0,0.0,0.8567122638712829,1.0005820820420575,1.0005820827869742,0.0,55.00020261924226,65.00062690669164,65.00062690669164,58.15205803772171,64.99999998697156,40.000000014889665,79.99999997022066,0.20006133584479746
90,skipped,1.0796440294682372,1.0,0.0,0.0,0.0,0.855356898982888,0.9862751048388442,0.9862751055731097,0.0,55.00020261924227,65.00062690669164,65.00062690669164,52.575393978556846,64.99999998697156,40.00000001488967,79.99999997022066,0.20006133584479746
91,skipped,1.0839512409387826,1.0,0.0,0.0,0.0,0.8563580122507406,0.9956710452809984,0.9956710460222588,0.0,55.00020261924226,65.00062690669164,65.00062690669164,56.18329208962892,64.99999998697153,40.000000014889665,79.99999997022067,0.20006133584479746
