eval,cached,obj,mean,std,cv,dou,sim_s,p0,p1,p2,p3,p4,p5,p6,p7
50,0,0.10926792111775385,1339.3615622222221,53.02149368320691,0.03958714000664279,96.04128599933573,8.148985147476196,33.761325225388276,51.08127384250817,50.698422115677545,56.991602820033066,55.0,65.0,40.0,80.0
51,0,0.10564459312320038,1327.10576,55.86015493406686,0.04209171312320042,95.79082868767996,8.151541948318481,33.761325225388276,51.08127384250817,50.698422115677545,56.908269366679974,51.73762078750735,65.0,40.0,80.0
52,0,0.12659719388628052,1382.6762844444445,48.7518545478948,0.03525905166405827,96.47409483359417,8.202224969863892,33.761325225388276,51.08127384250817,50.698422115677545,56.908269366679974,68.26237921249263,65.0,40.0,80.0
53,0,0.10054731147843826,1294.214248888889,69.16305152268201,0.05344018703399379,94.65598129660063,8.147580862045288,33.761325225388276,51.08127384250817,50.698422115677545,56.908269366679974,41.52475842498528,65.0,40.0,80.0
54,0,0.09998044050533358,1282.1121466666666,75.54764688586813,0.05892436717200027,94.10756328279997,8.149777889251709,33.761325225388276,51.08127384250817,50.698422115677545,56.908269366679974,37.952713279704014,65.0,40.0,80.0
55,0,0.10085895175313153,1278.8857355555554,78.54415372976217,0.061416083975353856,93.85839160246462,8.155724048614502,33.761325225388276,51.08127384250817,50.698422115677545,56.908269366679974,36.525505648238585,65.0,40.0,80.0
56,0,0.09990119039862716,1286.5354511111111,72.86096023986637,0.0566334648430716,94.33665351569283,8.157062768936157,33.761325225388276,51.08127384250817,50.698422115677545,56.908269366679974,39.22638712299191,65.0,40.0,80.0
57,0,0.10136010893223013,1284.9570866666668,75.6602849903306,0.05888156559889675,94.11184344011032,8.22239899635315,33.761325225388276,51.08127384250817,50.698422115677545,56.908269366679974,38.9132187071615,65.0,40.0,80.0
58,0,0.09996054908715885,1288.6550866666669,71.69175585122306,0.05563300575382541,94.43669942461746,8.179841995239258,33.761325225388276,51.08127384250817,50.698422115677545,56.908269366679974,40.104286841586024,65.0,40.0,80.0
59,0,0.10012513176264726,1286.0331022222222,73.44352513880304,0.05710858065153617,94.28914193484638,8.162556886672974,33.761325225388276,51.08127384250817,50.698422115677545,56.908269366679974,39.1051020961868,65.0,40.0,80.0
60,0,0.10054493056365249,1286.4505755555554,73.73888745252748,0.05731964278587481,94.26803572141253,9.461503028869629,33.761325225388276,51.08127384250817,50.698422115677545,56.908269366679974,39.30972069028573,65.0,40.0,80.0
61,0,0.0809920698973098,1231.4397733333335,80.37876252251489,0.06527218323064304,93.4727816769357,8.511109113693237,33.761325225388276,51.08127384250817,50.698422115677545,56.908269366679974,39.22638712299191,51.73762078750735,40.0,80.0
